sku,name,inv,ean,erli_pln,bl_retail_pln,multistore_pln,erli_vs_bl_pct,erli_vs_multistore_pct,flags,stock
562,Basen wodny plac zabaw dla dzieci zjeżdżalnia fontanna INTEX 57444,MultiStore,6941057402482,168.0,168.0,168.0,100%,100%,LOSS,0
563,Basen dmuchany dla dzieci wodny plac zabaw zjeżdżalnia fontanna INTEX 57135,MultiStore,6941057402505,210.0,210.0,210.0,100%,100%,LOSS,4
571,Suszarka na pranie pionowa 3 poziomy 15 metrów powierzchni suszenia ModernHome,MultiStore,5903089063421,69.0,69.0,69.0,100%,100%,LOSS,53
575,Zestaw krzeseł do jadalni salonu z ekoskóry 4 sztuki wysokie oparcie szare Moder,MultiStore,5903089064589,245.0,245.0,245.0,100%,100%,LOSS,26
576,Zestaw krzeseł do jadalni salonu z krzesło ekoskóry 4 sztuki wysokie oparcie bia,MultiStore,5903089064602,245.0,245.0,245.0,100%,100%,LOSS,14
577,Zestaw krzeseł do jadalni salonu z ekoskóry 4 sztuki wysokie oparcie czarne Mode,MultiStore,5903089064558,245.0,245.0,245.0,100%,100%,LOSS,33
578,Zestaw krzesła tapicerowane do jadalni i salonu 4 sztuki szare ModernHome,MultiStore,5903089064893,250.0,250.0,250.0,100%,100%,LOSS,75
585,Fotel ogrodowy leżak leżanka bujana ogrodowa hamak MultiGarden,MultiStore,5903769971756,430.0,430.0,430.0,100%,100%,LOSS,0
586,Leżanka leżak ogrodowy z daszkiem huśtawka hamak MultiGarden,MultiStore,5903089061304,440.0,440.0,440.0,100%,100%,LOSS,0
606,Materac dmuchany do pływania INTEX 58802 WHITE,MultiStore,5903769976270,31.0,31.0,31.0,100%,100%,LOSS,0
617,"ROWEREK BIEGOWY DLA DZIECI BEZPIECZNA KONSTRUKCJA KOŁA EVA ""ZEBR HOPLA TOYS",MultiStore,5903089062264,99.0,99.0,99.0,100%,100%,LOSS,0
619,"ROWEREK BIEGOWY DLA DZIECI BEZPIECZNA KONSTRUKCJA KOŁA EVA ""ŻYRA HOPLA TOYS",MultiStore,5903089063056,99.0,99.0,99.0,100%,100%,LOSS,33
620,Materac dmuchany flaming leżanka do pływania INTEX 57558,MultiStore,6941057403021,47.0,47.0,47.0,100%,100%,LOSS,0
63,Siatka ochronna wewnętrzna na trampolinę 10 ft 6 słupków 305 cm,MultiStore,5903089067986,77.0,77.0,77.0,100%,100%,LOSS,0
636,NAMIOT DLA DZIECI NAMIOCIK DOMEK POSTERUNEK POLICJI HOPLA TOYS,MultiStore,6958868881818,51.0,51.0,51.0,100%,100%,LOSS,397
637,NAMIOT DLA DZIECI NAMIOCIK DOMEK ZOO HOPLA TOYS,MultiStore,6958868881825,34.0,34.0,34.0,100%,100%,LOSS,477
639,Fotel plażowy materac leżak na basen INTEX 58802 BLUE,MultiStore,6941057408903,31.0,31.0,31.0,100%,100%,LOSS,0
64,Wewnętrzna siatka ochronna na trampolinę 10 ft 8 słupków 305 cm,MultiStore,5903089061847,77.0,77.0,77.0,100%,100%,LOSS,15
65,Siatka zewnętrzna do trampoliny 10 ft 6 słupków 305 cm,MultiStore,5903089061939,83.0,83.0,83.0,100%,100%,LOSS,0
66,Siatka ochronna zewnętrzna na trampolinę 10 ft 8 słupków 305 cm,MultiStore,5903089061892,87.0,87.0,87.0,100%,100%,LOSS,0
67,Wewnętrzna siatka do trampoliny 12 ft 8 słupków 366 cm,MultiStore,5903089061861,85.0,85.0,85.0,100%,100%,LOSS,0
670,DREWNIANA KUCHNIA DLA DZIECI DODATKOWE AKCESORIA PREMIUM HOPLA TOYS,MultiStore,5903089063469,230.0,230.0,230.0,100%,100%,LOSS,34
7,Filtr filtry typ A - do pompy basenu INTEX 29000 - 6 sztuk,MultiStore,6941057420004,57.0,57.0,57.0,100%,100%,LOSS,0
709,STÓŁ NARZĘDZIOWY DREWNIANY WARSZTAT 32 ELEMENTY ZABAWKI HOPLA TOYS,MultiStore,5903089063094,150.0,150.0,150.0,100%,100%,LOSS,0
735,Zestaw urodzinowy - Tort do krojenia 80 elementów LED,MultiStore,5903089068471,29.0,29.0,29.0,100%,100%,LOSS,99
754,Regał szafka modułowa komoda półki biała ModernHome,MultiStore,5903089064848,121.0,121.0,121.0,100%,100%,LOSS,4
761,Zestaw 4 krzeseł krzesło do salonu jadalni z poduszką białe ModernHome,MultiStore,5905817003235,289.0,289.0,289.0,100%,100%,LOSS,0
769,Zestaw krzeseł do jadalni salonu z ekoskóry 4 sztuki wysokie oparcie brązowe Mod,MultiStore,5903089064596,245.0,245.0,245.0,100%,100%,LOSS,0
770,Wieszak na ubrania odzież stojak stojący ModernHome,MultiStore,5903089063681,70.0,70.0,70.0,100%,100%,LOSS,22
